#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
B,fpp, "used by tmux for finding links,files, etc"
B,nvim
B,nvr, neovim-remote
B,cmake, "needed for telescope-fzf"
B,bb, "babashka-bin, run clojure scritps"
B,nnn, "file explorer"
B,cpg,jaapi-advcpmv, "needed for nnn progress bar"
B,mvg,jaapi-advcpmv, "needed for nnn progress bar"
B,fzy, "fuzzy search"
B,fd, "better find"
B,duf, "better df -h"
B,dust, "better du -cks"
B,exa, "better ls"
B,bat, "better cat"
B,procs, "better ps ax"
B,tldr, "better man"
B,btm, "bottom, better htop"
B,python, python3
B,pip,python-pip, "package management" 
B,poetry, python-poetry, "package management" 
B,gh,github-cli
B,nordvpn,nordvpn-bin
,tailscale, "like zerotier"
B,nvimpager,nvimpager-git
B,mosh
B,urlview
B,sshuttle
A,appimagelauncher-git
K,kwin-bismuth
F,noto-fonts 
S,syncthing
F,syncthingtray
B,clojure
B,clj
B,rlwrap, "for clj"
F,ttf-hack-nerd
B,node, "bin for nodejs"
B,npm
